cresta_zone,1,3,4,5,6,7,8,9,10,12,13
1,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.75,0.5,0.25
3,0.5,1.0,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.5
4,0.5,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,0.5,0.75,0.75,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5
6,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.25,0.5,0.5
7,0.25,0.5,0.5,0.5,0.5,1.0,0.75,0.5,0.25,0.25,0.5
8,0.25,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.25,0.5,0.5
9,0.25,0.25,0.5,0.25,0.5,0.5,0.5,1.0,0.25,0.25,0.5
10,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,1.0,0.5,0.25
12,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.5,1.0,0.5
13,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0
